model_name,model_bucket,feature_group,input_size,max_steps,patience,hidden_size,batch_size,status,note,rmse,mae,directional_accuracy,sharpe,n_predictions
TFT,primary,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
TFT,primary,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
TFT,primary,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
TFT,primary,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
TFT,primary,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
TFT,primary,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
PatchTST,primary,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
PatchTST,primary,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
PatchTST,primary,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
PatchTST,primary,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
PatchTST,primary,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
PatchTST,primary,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
Mamba,primary,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
Mamba,primary,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
Mamba,primary,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
Mamba,primary,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
Mamba,primary,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
Mamba,primary,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
Informer,primary,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
Informer,primary,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
Informer,primary,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
Informer,primary,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
Informer,primary,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
Informer,primary,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
Autoformer,primary,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
Autoformer,primary,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
Autoformer,primary,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
Autoformer,primary,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
Autoformer,primary,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
Autoformer,primary,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
FEDformer,primary,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
FEDformer,primary,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
FEDformer,primary,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
FEDformer,primary,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
FEDformer,primary,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
FEDformer,primary,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G1_price_only,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G1_price_only,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G1_price_only,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G1_price_only,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G2_price_technical,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G2_price_technical,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G2_price_technical,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G2_price_technical,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G3_plus_breadth,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G3_plus_breadth,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G3_plus_breadth,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
LSTM,baseline,G3_plus_breadth,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G1_price_only,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G1_price_only,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G1_price_only,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G1_price_only,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G2_price_technical,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G2_price_technical,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G2_price_technical,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G2_price_technical,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G3_plus_breadth,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G3_plus_breadth,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G3_plus_breadth,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
GRU,baseline,G3_plus_breadth,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G1_price_only,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G1_price_only,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G1_price_only,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G1_price_only,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G2_price_technical,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G2_price_technical,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G2_price_technical,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G2_price_technical,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G3_plus_breadth,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G3_plus_breadth,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G3_plus_breadth,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
NBEATS,baseline,G3_plus_breadth,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G1_price_only,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G1_price_only,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G1_price_only,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G1_price_only,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G1_price_only,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G1_price_only,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G2_price_technical,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G2_price_technical,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G2_price_technical,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G2_price_technical,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G2_price_technical,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G2_price_technical,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G3_plus_breadth,64,60,10,32,32,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G3_plus_breadth,64,60,10,32,64,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G3_plus_breadth,64,60,10,64,32,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G3_plus_breadth,64,60,10,64,64,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G3_plus_breadth,64,60,10,128,32,not_available,neuralforecast_not_installed,,,,,0
NHITS,baseline,G3_plus_breadth,64,60,10,128,64,not_available,neuralforecast_not_installed,,,,,0
