run_id,status,target,models,lag_window,epochs,patience,max_train_rows,max_test_rows,best_pipeline,best_model_c_rmse,best_model_c_dir_acc,run_report_csv,run_report_md,run_report_json,note,timestamp_utc
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,5,180000,70000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_70000\comparison.json",2026-04-13T08:24:00.503229+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,5,180000,100000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_180000__te_100000\comparison.json",2026-04-13T08:30:41.518813+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,5,260000,70000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_70000\comparison.json",2026-04-13T08:38:17.532252+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,5,260000,100000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.json",2026-04-13T08:45:59.865281+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,10,180000,70000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.json",2026-04-13T08:52:50.063937+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,10,180000,100000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.json",2026-04-13T08:59:29.725453+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,10,260000,70000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.json",2026-04-13T09:07:10.429987+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,10,260000,100000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.json",2026-04-13T09:13:45.070039+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,20,180000,70000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.json",2026-04-13T09:19:44.659296+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,20,180000,100000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.json",2026-04-13T09:25:26.472261+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,20,260000,70000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.json",2026-04-13T09:32:09.013194+00:00
