run_id,status,target,models,lag_window,epochs,patience,max_train_rows,max_test_rows,best_pipeline,best_model_c_rmse,best_model_c_dir_acc,run_report_csv,run_report_md,run_report_json,note,timestamp_utc
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,20,260000,100000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.json",2026-04-13T09:38:31.437595+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,5,180000,70000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.json",2026-04-13T09:44:02.160751+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,5,180000,100000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_100000\comparison.json",2026-04-13T09:49:43.021151+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,5,260000,70000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_70000\comparison.json",2026-04-13T09:56:20.032039+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,5,260000,100000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_260000__te_100000\comparison.json",2026-04-13T10:02:38.283959+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,10,180000,70000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_70000\comparison.json",2026-04-13T10:07:41.919212+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,10,180000,100000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_180000__te_100000\comparison.json",2026-04-13T10:13:19.778076+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,10,260000,70000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_70000\comparison.json",2026-04-13T10:19:53.514947+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,10,260000,100000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_10__tr_260000__te_100000\comparison.json",2026-04-13T10:26:26.787964+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,20,180000,70000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_70000\comparison.json",2026-04-13T10:31:59.091483+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,20,180000,100000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_180000__te_100000\comparison.json",2026-04-13T10:37:34.389894+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_260000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,20,260000,70000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_h5_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_20__tr_260000__te_70000\comparison.json",2026-04-13T10:44:13.333353+00:00
